File Name,Row_0%,Row_1%,Row_2%,Col_0%,Col_1%,Col_2%
claude-3-opus-20240229_choices.csv,6.67,86.67,6.67,0.0,53.33,46.67
deepseek-ai_DeepSeek-R1-Distill-Llama-70B_choices.csv,28.57,57.14,14.29,0.0,42.86,57.14
deepseek-ai_DeepSeek-R1-Distill-Llama-8B_choices.csv,40.0,46.67,13.33,33.33,33.33,33.33
deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_choices.csv,16.67,75.0,8.33,7.69,76.92,15.38
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B_choices.csv,20.0,60.0,20.0,0.0,93.33,6.67
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B_choices.csv,66.67,20.0,13.33,0.0,73.33,26.67
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B_choices.csv,26.67,46.67,26.67,0.0,40.0,60.0
deepseek-ai_DeepSeek-V2.5_choices.csv,20.0,33.33,46.67,6.67,26.67,66.67
deepseek-reasoner_choices.csv,40.0,53.33,6.67,0.0,100.0,0.0
gemini-2.0-flash-thinking-exp-01-21_choices.csv,40.0,60.0,0.0,0.0,100.0,0.0
google_gemma-2-27b-it_choices.csv,86.67,6.67,6.67,0.0,73.33,26.67
gpt-4o_choices.csv,86.67,13.33,0.0,20.0,66.67,13.33
internlm_internlm2_5-20b-chat_choices.csv,13.33,53.33,33.33,13.33,20.0,66.67
meta-llama_Meta-Llama-3.1-405B-Instruct_choices.csv,26.67,73.33,0.0,0.0,100.0,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct_choices.csv,0.0,26.67,73.33,14.29,50.0,35.71
o1-preview_choices.csv,80.0,0.0,20.0,0.0,33.33,66.67
o3-mini-2025-01-31_choices.csv,93.33,6.67,0.0,0.0,86.67,13.33
Pro_deepseek-ai_DeepSeek-V3_choices.csv,6.67,53.33,40.0,0.0,93.33,6.67
Qwen_QwQ-32B-Preview_choices.csv,60.0,20.0,20.0,93.33,6.67,0.0
THUDM_glm-4-9b-chat_choices.csv,13.33,60.0,26.67,0.0,46.67,53.33
