File Name,Row_0%,Row_1%,Row_2%,Col_0%,Col_1%,Col_2%
claude-3-opus-20240229_choices.csv,6.67,66.67,26.67,6.67,66.67,26.67
claude-3-opus-20240229_CoT_choices.csv,100.0,0.0,0.0,73.33,26.67,0.0
deepseek-ai_DeepSeek-R1-Distill-Llama-70B_choices.csv,20.0,46.67,33.33,28.57,57.14,14.29
deepseek-ai_DeepSeek-R1-Distill-Llama-8B_choices.csv,40.0,53.33,6.67,20.0,46.67,33.33
deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_choices.csv,28.57,50.0,21.43,26.67,40.0,33.33
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B_choices.csv,20.0,46.67,33.33,33.33,53.33,13.33
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B_choices.csv,53.33,26.67,20.0,93.33,0.0,6.67
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B_choices.csv,6.67,86.67,6.67,26.67,73.33,0.0
deepseek-ai_DeepSeek-V2.5_choices.csv,6.67,33.33,60.0,13.33,6.67,80.0
deepseek-ai_DeepSeek-V2.5_CoT_choices.csv,66.67,26.67,6.67,66.67,13.33,20.0
deepseek-reasoner_choices.csv,20.0,80.0,0.0,20.0,80.0,0.0
gemini-2.0-flash-thinking-exp-01-21_choices.csv,73.33,26.67,0.0,80.0,20.0,0.0
gemini-2.0-flash-thinking-exp-01-21_CoT_choices.csv,26.67,40.0,33.33,46.67,33.33,20.0
google_gemma-2-27b-it_choices.csv,80.0,6.67,13.33,80.0,0.0,20.0
google_gemma-2-27b-it_CoT_choices.csv,20.0,80.0,0.0,53.33,40.0,6.67
gpt-4o_choices.csv,60.0,26.67,13.33,33.33,53.33,13.33
gpt-4o_CoT_choices.csv,66.67,26.67,6.67,60.0,20.0,20.0
internlm_internlm2_5-20b-chat_choices.csv,33.33,33.33,33.33,46.67,20.0,33.33
internlm_internlm2_5-20b-chat_CoT_choices.csv,20.0,60.0,20.0,35.71,28.57,35.71
meta-llama_Meta-Llama-3.1-405B-Instruct_choices.csv,26.67,73.33,0.0,40.0,60.0,0.0
meta-llama_Meta-Llama-3.1-405B-Instruct_CoT_choices.csv,33.33,46.67,20.0,26.67,40.0,33.33
meta-llama_Meta-Llama-3.1-8B-Instruct_choices.csv,20.0,40.0,40.0,13.33,20.0,66.67
meta-llama_Meta-Llama-3.1-8B-Instruct_CoT_choices.csv,40.0,40.0,20.0,20.0,60.0,20.0
o1-preview_choices.csv,100.0,0.0,0.0,13.33,73.33,13.33
o3-mini-2025-01-31_choices.csv,86.67,6.67,6.67,0.0,93.33,6.67
Pro_deepseek-ai_DeepSeek-V3_choices.csv,26.67,33.33,40.0,13.33,46.67,40.0
Pro_deepseek-ai_DeepSeek-V3_CoT_choices.csv,60.0,26.67,13.33,66.67,20.0,13.33
Qwen_QwQ-32B-Preview_choices.csv,60.0,0.0,40.0,26.67,20.0,53.33
Qwen_QwQ-32B-Preview_CoT_choices.csv,60.0,0.0,40.0,86.67,0.0,13.33
THUDM_glm-4-9b-chat_choices.csv,6.67,66.67,26.67,0.0,40.0,60.0
THUDM_glm-4-9b-chat_CoT_choices.csv,33.33,60.0,6.67,40.0,46.67,13.33
